team,actual_wins,model_mean,fair_line,public_expectation,shaded_mean,opener,edge_pct,edge_gt_7pct
ARI,8.0,8.8766,9.0,8.2,8.761577999999998,9.0,0.01371111111111113,False
ATL,8.0,6.88035,7.0,8.2,7.1046905,7.0,0.01709285714285715,False
BAL,12.0,11.3393,11.5,10.6,11.213619,11.0,0.03084545454545452,False
BUF,13.0,11.84875,12.0,11.2,11.7384625,11.5,0.03032608695652181,False
CAR,5.0,4.88395,5.0,6.4,5.141678499999999,5.0,0.023210000000000085,False
CHI,5.0,7.24605,7.0,6.4,7.1022215,7.0,0.03515000000000005,False
CIN,9.0,9.8362,10.0,8.8,9.660046,9.5,0.035389473684210505,False
CLE,3.0,4.62295,4.5,5.2,4.7210485,4.5,0.027322222222222296,False
DAL,7.0,6.35095,6.5,7.6000000000000005,6.5632885000000005,6.5,0.022930769230769216,False
DEN,10.0,10.9536,11.0,9.4,10.689488,10.5,0.04319999999999998,False
DET,15.0,12.4843,12.5,12.4,12.469968999999999,12.5,0.001256000000000057,False
GB,11.0,10.7711,11.0,10.0,10.640013,10.5,0.025819047619047672,False
HOU,10.0,9.03935,9.0,9.4,9.1006605,9.0,0.0043722222222222955,False
IND,8.0,7.894,8.0,8.2,7.94602,8.0,0.013249999999999984,False
JAX,4.0,6.86345,7.0,5.800000000000001,6.6826635,6.5,0.05591538461538466,False
KC,15.0,9.8676,10.0,12.4,10.298108,10.5,0.06022857142857148,False
LA,10.0,7.0812,7.0,9.4,7.475396,7.5,0.05584000000000001,False
LAC,11.0,10.98415,11.0,10.0,10.816844499999998,11.0,0.001440909090909124,False
LV,4.0,5.04885,5.0,5.800000000000001,5.1765455,5.0,0.009769999999999968,False
MIA,8.0,9.0687,9.0,8.2,8.921021,9.0,0.007633333333333307,False
MIN,14.0,10.47815,10.5,11.8,10.702864499999999,10.5,0.002080952380952437,False
NE,4.0,6.34745,6.5,5.800000000000001,6.254383499999999,6.5,0.02346923076923073,False
NO,5.0,6.81205,7.0,6.4,6.7420015,6.5,0.048007692307692335,False
NYG,3.0,5.19565,5.0,5.2,5.1963894999999996,5.0,0.03912999999999993,False
NYJ,5.0,7.18755,7.0,6.4,7.053666499999999,7.0,0.026792857142857125,False
PHI,14.0,12.22205,12.0,11.8,12.1503015,12.0,0.018504166666666617,False
PIT,10.0,9.2596,9.5,9.4,9.283468000000001,9.5,0.02530526315789466,False
SEA,10.0,8.88535,9.0,9.4,8.9728405,9.0,0.012738888888888807,False
SF,6.0,7.4222,7.5,7.0,7.350426000000001,7.5,0.010373333333333316,False
TB,10.0,11.1072,11.0,9.4,10.816976,11.0,0.009745454545454602,False
TEN,3.0,4.28165,4.5,5.2,4.4377695,4.5,0.04852222222222223,False
WAS,12.0,10.8597,11.0,10.6,10.815551,11.0,0.012754545454545442,False
