team,diff_per_game,pr_central,pr_low,pr_high,qb_adj,hc_adj,pr_final
ARI,1.2352941176470589,0.8029411764705883,0.6794117647058824,0.9264705882352942,0.6,0.0,1.4029411764705881
ATL,-2.0,-1.3,-1.1,-1.5,-1.8,-0.7,-3.8
BAL,9.235294117647058,6.002941176470588,5.079411764705882,6.9264705882352935,1.0,0.0,7.002941176470588
BUF,9.235294117647058,6.002941176470588,5.079411764705882,6.9264705882352935,0.9,0.0,6.902941176470589
CAR,-11.352941176470589,-7.379411764705883,-6.244117647058824,-8.514705882352942,-0.8,0.0,-8.179411764705883
CHI,-3.5294117647058822,-2.2941176470588234,-1.9411764705882355,-2.6470588235294117,0.4,0.0,-1.8941176470588235
CIN,2.235294117647059,1.4529411764705884,1.2294117647058824,1.6764705882352942,0.8,0.0,2.2529411764705882
CLE,-10.411764705882353,-6.76764705882353,-5.726470588235295,-7.8088235294117645,-0.7,0.0,-7.46764705882353
DAL,-6.9411764705882355,-4.511764705882353,-3.8176470588235296,-5.205882352941177,0.7,-0.4,-4.211764705882353
DEN,6.705882352941177,4.358823529411765,3.6882352941176473,5.029411764705882,0.6,0.0,4.958823529411765
DET,13.058823529411764,8.488235294117647,7.182352941176471,9.794117647058822,0.8,0.0,9.288235294117648
GB,7.176470588235294,4.6647058823529415,3.9470588235294124,5.382352941176471,0.7,0.0,5.364705882352942
HOU,0.0,0.0,0.0,0.0,0.9,0.0,0.9
IND,-2.9411764705882355,-1.911764705882353,-1.6176470588235297,-2.2058823529411766,0.3,0.0,-1.611764705882353
JAX,-6.764705882352941,-4.397058823529412,-3.7205882352941178,-5.073529411764706,0.3,0.0,-4.097058823529412
KC,3.4705882352941178,2.2558823529411764,1.9088235294117648,2.6029411764705883,1.0,0.0,3.2558823529411764
LA,-1.1176470588235294,-0.7264705882352942,-0.6147058823529412,-0.8382352941176471,-1.5,0.0,-2.226470588235294
LAC,5.9411764705882355,3.861764705882353,3.26764705882353,4.455882352941177,0.7,0.0,4.561764705882353
LV,-7.352941176470588,-4.779411764705882,-4.044117647058823,-5.514705882352941,-2.0,-0.2,-6.979411764705882
MIA,-1.1176470588235294,-0.7264705882352942,-0.6147058823529412,-0.8382352941176471,0.6,0.0,-0.12647058823529422
MIN,5.882352941176471,3.823529411764706,3.2352941176470593,4.411764705882353,0.2,0.0,4.023529411764706
NE,-7.529411764705882,-4.894117647058824,-4.141176470588236,-5.647058823529411,0.4,0.0,-4.4941176470588236
NO,-3.5294117647058822,-2.2941176470588234,-1.9411764705882355,-2.6470588235294117,-1.6,-0.6,-4.4941176470588236
NYG,-8.352941176470589,-5.429411764705883,-4.594117647058824,-6.264705882352942,-1.4,0.0,-6.829411764705883
NYJ,-3.8823529411764706,-2.523529411764706,-2.135294117647059,-2.911764705882353,0.2,-0.3,-2.6235294117647054
PHI,9.411764705882353,6.11764705882353,5.176470588235294,7.0588235294117645,0.8,0.0,6.91764705882353
PIT,1.9411764705882353,1.261764705882353,1.0676470588235294,1.4558823529411764,0.5,0.0,1.761764705882353
SEA,0.4117647058823529,0.2676470588235294,0.22647058823529412,0.3088235294117647,0.9,0.0,1.1676470588235295
SF,-2.764705882352941,-1.7970588235294118,-1.5205882352941178,-2.0735294117647056,0.7,0.0,-1.0970588235294119
TB,6.882352941176471,4.473529411764706,3.785294117647059,5.161764705882353,0.5,0.0,4.973529411764706
TEN,-8.764705882352942,-5.697058823529413,-4.820588235294118,-6.5735294117647065,-2.2,-0.5,-8.397058823529413
WAS,5.529411764705882,3.5941176470588236,3.0411764705882356,4.147058823529411,0.1,0.0,3.6941176470588237
