team,line,p_over,p_under,p_push,total
ARI,0.5,1.0,0.0,0.0,1.0
ARI,1.0,0.99995,0.0,5e-05,1.0
ARI,1.5,0.99995,5e-05,0.0,1.0
ARI,2.0,0.9995,5e-05,0.00045,1.0
ARI,2.5,0.9995,0.0005,0.0,1.0
ARI,3.0,0.9969,0.0005,0.0026,1.0
ARI,3.5,0.9969,0.0031,0.0,1.0
ARI,4.0,0.98715,0.0031,0.00975,1.0
ARI,4.5,0.98715,0.01285,0.0,1.0
ARI,5.0,0.9564,0.01285,0.03075,1.0
ARI,5.5,0.9564,0.0436,0.0,1.0
ARI,6.0,0.88555,0.0436,0.07085,0.9999999999999999
ARI,6.5,0.88555,0.11445,0.0,1.0
ARI,7.0,0.75665,0.11445,0.1289,1.0
ARI,7.5,0.75665,0.24335,0.0,1.0
ARI,8.0,0.5716,0.24335,0.18505,1.0
ARI,8.5,0.5716,0.4284,0.0,1.0
ARI,9.0,0.3756,0.4284,0.196,1.0
ARI,9.5,0.3756,0.6244,0.0,1.0
ARI,10.0,0.2084,0.6244,0.1672,1.0
ARI,10.5,0.2084,0.7916,0.0,1.0
ARI,11.0,0.09445,0.7916,0.11395,1.0
ARI,11.5,0.09445,0.90555,0.0,1.0
ARI,12.0,0.0345,0.90555,0.05995,1.0
ARI,12.5,0.0345,0.9655,0.0,1.0
ARI,13.0,0.00825,0.9655,0.02625,1.0
ARI,13.5,0.00825,0.99175,0.0,1.0
ARI,14.0,0.0014,0.99175,0.00685,1.0
ARI,14.5,0.0014,0.9986,0.0,1.0
ARI,15.0,0.00025,0.9986,0.00115,1.0
ARI,15.5,0.00025,0.99975,0.0,1.0
ARI,16.0,5e-05,0.99975,0.0002,1.0
ARI,16.5,5e-05,0.99995,0.0,1.0
ATL,0.5,1.0,0.0,0.0,1.0
ATL,1.0,0.99875,0.0,0.00125,1.0
ATL,1.5,0.99875,0.00125,0.0,1.0
ATL,2.0,0.9916,0.00125,0.00715,1.0
ATL,2.5,0.9916,0.0084,0.0,1.0
ATL,3.0,0.9646,0.0084,0.027,1.0
ATL,3.5,0.9646,0.0354,0.0,1.0
ATL,4.0,0.8943,0.0354,0.0703,1.0
ATL,4.5,0.8943,0.1057,0.0,1.0
ATL,5.0,0.7597,0.1057,0.1346,1.0
ATL,5.5,0.7597,0.2403,0.0,1.0
ATL,6.0,0.57545,0.2403,0.18425,1.0
ATL,6.5,0.57545,0.42455,0.0,1.0
ATL,7.0,0.36895,0.42455,0.2065,1.0
ATL,7.5,0.36895,0.63105,0.0,1.0
ATL,8.0,0.1977,0.63105,0.17125,1.0
