team,mean,median,sd,p10,p25,p75,p90
ARI,8.8766,9.0,1.9964649859188615,6,8,10,11
ATL,6.88035,7.0,1.9303455331882942,4,6,8,9
BAL,11.3393,11.0,1.8901786979013386,9,10,13,14
BUF,11.84875,12.0,1.8192782737943087,9,11,13,14
CAR,4.88395,5.0,1.8081433564571145,3,4,6,7
CHI,7.24605,7.0,1.9218244970600202,5,6,9,10
CIN,9.8362,10.0,1.9086302837375289,7,9,11,12
CLE,4.62295,5.0,1.7631742107630772,2,3,6,7
DAL,6.35095,6.0,1.9214536417774954,4,5,8,9
DEN,10.9536,11.0,1.873538641181441,9,10,12,13
DET,12.4843,13.0,1.7688282873133843,10,11,14,15
GB,10.7711,11.0,1.9176560666605469,8,10,12,13
HOU,9.03935,9.0,1.970584070142657,7,8,10,12
IND,7.894,8.0,1.9682388066492338,5,7,9,10
JAX,6.86345,7.0,1.9165083087479688,4,6,8,9
KC,9.8676,10.0,1.9341846447534423,7,9,11,12
LA,7.0812,7.0,1.9814405264857182,5,6,8,10
LAC,10.98415,11.0,1.8781104273977076,9,10,12,13
LV,5.04885,5.0,1.79283676822515,3,4,6,7
MIA,9.0687,9.0,1.9588977283155953,7,8,10,12
MIN,10.47815,11.0,1.9411395049042715,8,9,12,13
NE,6.34745,6.0,1.9456691644521686,4,5,8,9
NO,6.81205,7.0,1.9188081711051785,4,5,8,9
NYG,5.19565,5.0,1.8487214710442457,3,4,6,8
NYJ,7.18755,7.0,2.0011684080806393,5,6,9,10
PHI,12.22205,12.0,1.7632764381968018,10,11,13,14
PIT,9.2596,9.0,1.9563762010410983,7,8,11,12
SEA,8.88535,9.0,2.0153176864951092,6,7,10,11
SF,7.4222,7.0,1.9988364515387447,5,6,9,10
TB,11.1072,11.0,1.8543214823756964,9,10,12,13
TEN,4.28165,4.0,1.7313645709381948,2,3,5,7
WAS,10.8597,11.0,1.8654264686660795,8,10,12,13
