season,week,home_team,away_team,home_score,away_score
2025,1,PHI,DAL,24,20
2025,1,LAC,KC,27,21
2025,1,ATL,TB,20,23
2025,1,CLE,CIN,16,17
2025,1,IND,MIA,33,8
2025,1,JAX,CAR,26,10
2025,1,NE,LV,13,20
2025,1,NO,ARI,13,20
2025,1,NYJ,PIT,32,34
2025,1,WAS,NYG,21,6
2025,1,DEN,TEN,20,12
2025,1,SEA,SF,13,17
2025,1,GB,DET,27,13
2025,1,LA,HOU,14,9
2025,1,BUF,BAL,41,40
2025,1,CHI,MIN,24,27
2025,2,GB,WAS,27,18
2025,2,BAL,CLE,41,17
2025,2,CIN,JAX,31,27
2025,2,DAL,NYG,40,37
2025,2,DET,CHI,52,21
2025,2,MIA,NE,27,33
2025,2,NO,SF,21,26
2025,2,NYJ,BUF,10,30
2025,2,PIT,SEA,17,31
2025,2,TEN,LA,19,33
2025,2,ARI,CAR,27,22
2025,2,IND,DEN,29,28
2025,2,KC,PHI,17,20
2025,2,MIN,ATL,6,22
2025,2,HOU,TB,19,20
2025,2,LV,LAC,9,20
2025,3,BUF,MIA,31,21
2025,3,CAR,ATL,30,0
2025,3,CLE,GB,13,10
2025,3,JAX,HOU,17,10
2025,3,MIN,CIN,48,10
2025,3,NE,PIT,14,21
2025,3,PHI,LA,33,26
2025,3,TB,NYJ,29,27
2025,3,TEN,IND,20,41
2025,3,WAS,LV,41,24
2025,3,LAC,DEN,23,20
2025,3,SEA,NO,44,13
2025,3,CHI,DAL,31,14
2025,3,SF,ARI,16,15
2025,3,NYG,KC,9,22
2025,3,BAL,DET,30,38
2025,4,ARI,SEA,20,23
2025,4,PIT,MIN,24,21
2025,4,ATL,WAS,34,27
2025,4,BUF,NO,31,19
2025,4,DET,CLE,34,10
2025,4,HOU,TEN,26,0
2025,4,NE,CAR,42,13
2025,4,NYG,LAC,21,18
2025,4,TB,PHI,25,31
2025,4,LA,IND,27,20
2025,4,SF,JAX,21,26
2025,4,KC,BAL,37,20
2025,4,LV,CHI,24,25
2025,4,DAL,GB,40,40
2025,4,MIA,NYJ,27,21
2025,4,DEN,CIN,28,3
2025,5,LA,SF,23,26
2025,5,CLE,MIN,17,21
2025,5,BAL,HOU,10,44
2025,5,CAR,MIA,27,24
2025,5,IND,LV,40,6
2025,5,NO,NYG,26,14
2025,5,NYJ,DAL,22,37
2025,5,PHI,DEN,17,21
2025,5,ARI,TEN,21,22
2025,5,SEA,TB,35,38
2025,5,CIN,DET,24,37
2025,5,LAC,WAS,10,27
2025,5,BUF,NE,20,23
2025,5,JAX,KC,31,28
2025,6,NYG,PHI,34,17
2025,6,NYJ,DEN,11,13
2025,6,BAL,LA,3,17
2025,6,CAR,DAL,30,27
2025,6,IND,ARI,31,27
2025,6,JAX,SEA,12,20
2025,6,MIA,LAC,27,29
2025,6,NO,NE,19,25
2025,6,PIT,CLE,23,9
2025,6,LV,TEN,20,10
2025,6,GB,CIN,27,18
2025,6,TB,SF,30,19
2025,6,KC,DET,30,17
2025,6,ATL,BUF,24,14
2025,6,WAS,CHI,24,25
2025,7,CIN,PIT,33,31
2025,7,JAX,LA,7,35
2025,7,CHI,NO,26,14
2025,7,CLE,MIA,31,6
2025,7,KC,LV,31,0
2025,7,MIN,PHI,22,28
2025,7,NYJ,CAR,6,13
2025,7,TEN,NE,13,31
2025,7,DEN,NYG,33,32
2025,7,LAC,IND,24,38
2025,7,ARI,GB,23,27
2025,7,DAL,WAS,44,22
2025,7,SF,ATL,20,10
2025,7,DET,TB,24,9
2025,7,SEA,HOU,27,19
2025,8,LAC,MIN,37,10
2025,8,ATL,MIA,10,34
2025,8,BAL,CHI,30,16
2025,8,CAR,BUF,9,40
2025,8,CIN,NYJ,38,39
2025,8,HOU,SF,26,15
2025,8,NE,CLE,32,13
2025,8,PHI,NYG,38,20
2025,8,NO,TB,3,23
2025,8,DEN,DAL,44,24
2025,8,IND,TEN,38,14
2025,8,PIT,GB,25,35
2025,8,KC,WAS,28,7
2025,9,MIA,BAL,6,28
2025,9,CIN,CHI,42,47
2025,9,DET,MIN,24,27
2025,9,GB,CAR,13,16
2025,9,HOU,DEN,15,18
2025,9,NE,ATL,24,23
2025,9,NYG,SF,24,34
2025,9,PIT,IND,27,20
2025,9,TEN,LAC,20,27
2025,9,LA,NO,34,10
2025,9,LV,JAX,29,30
2025,9,BUF,KC,28,21
2025,9,WAS,SEA,14,38
2025,9,DAL,ARI,17,27
2025,10,DEN,LV,10,7
2025,10,IND,ATL,31,25
2025,10,CAR,NO,7,17
2025,10,CHI,NYG,24,20
2025,10,HOU,JAX,36,29
2025,10,MIA,BUF,30,13
2025,10,MIN,BAL,19,27
2025,10,NYJ,CLE,27,20
2025,10,TB,NE,23,28
2025,10,SEA,ARI,44,22
2025,10,SF,LA,26,42
2025,10,WAS,DET,22,44
2025,10,LAC,PIT,25,10
2025,10,GB,PHI,7,10
2025,11,NE,NYJ,27,14
2025,11,MIA,WAS,16,13
2025,11,ATL,CAR,27,30
2025,11,BUF,TB,44,32
2025,11,JAX,LAC,35,6
2025,11,MIN,CHI,17,19
2025,11,NYG,GB,20,27
2025,11,PIT,CIN,34,12
2025,11,TEN,HOU,13,16
2025,11,ARI,SF,22,41
2025,11,LA,SEA,21,19
2025,11,CLE,BAL,16,23
2025,11,DEN,KC,22,19
2025,11,PHI,DET,16,9
2025,11,LV,DAL,16,33
2025,12,HOU,BUF,23,19
2025,12,BAL,NYJ,23,10
2025,12,CHI,PIT,31,28
2025,12,CIN,NE,20,26
2025,12,DET,NYG,34,27
2025,12,GB,MIN,23,6
2025,12,KC,IND,23,20
2025,12,TEN,SEA,24,30
2025,12,ARI,JAX,24,27
2025,12,LV,CLE,10,24
2025,12,DAL,PHI,24,21
2025,12,NO,ATL,10,24
2025,12,LA,TB,34,7
2025,12,SF,CAR,20,9
2025,13,DET,GB,24,31
2025,13,DAL,KC,31,28
2025,13,BAL,CIN,14,32
2025,13,PHI,CHI,15,24
2025,13,CAR,LA,31,28
2025,13,CLE,SF,8,26
2025,13,IND,HOU,16,20
2025,13,MIA,NO,21,17
2025,13,NYJ,ATL,27,24
2025,13,TB,ARI,20,17
2025,13,TEN,JAX,3,25
2025,13,SEA,MIN,26,0
2025,13,LAC,LV,31,14
2025,13,PIT,BUF,7,26
2025,13,WAS,DEN,26,27
2025,13,NE,NYG,33,15
2025,14,DET,DAL,44,30
2025,14,ATL,SEA,9,37
2025,14,BAL,PIT,22,27
2025,14,BUF,CIN,39,34
2025,14,CLE,TEN,29,31
2025,14,JAX,IND,36,19
2025,14,MIN,WAS,31,0
2025,14,NYJ,MIA,10,34
2025,14,TB,NO,20,24
2025,14,LV,DEN,17,24
2025,14,ARI,LA,17,45
2025,14,GB,CHI,28,21
2025,14,KC,HOU,10,20
2025,14,LAC,PHI,22,19
2025,15,TB,ATL,28,29
2025,15,CHI,CLE,31,3
2025,15,CIN,BAL,0,24
2025,15,HOU,ARI,40,20
2025,15,JAX,NYJ,48,20
2025,15,KC,LAC,13,16
2025,15,NE,BUF,31,35
2025,15,NYG,WAS,21,29
2025,15,PHI,LV,31,0
2025,15,DEN,GB,34,26
2025,15,LA,DET,41,34
2025,15,NO,CAR,20,17
2025,15,SEA,IND,18,16
2025,15,SF,TEN,37,24
2025,15,DAL,MIN,26,34
2025,15,PIT,MIA,28,15
2025,16,SEA,LA,38,37
2025,16,WAS,PHI,18,29
2025,16,CHI,GB,22,16
2025,16,CAR,TB,23,20
2025,16,CLE,BUF,20,23
2025,16,DAL,LAC,17,34
2025,16,MIA,CIN,21,45
2025,16,NO,NYJ,29,6
2025,16,NYG,MIN,13,16
2025,16,TEN,KC,26,9
2025,16,ARI,ATL,19,26
2025,16,DEN,JAX,20,34
2025,16,DET,PIT,24,29
2025,16,HOU,LV,23,21
2025,16,BAL,NE,24,28
2025,16,IND,SF,27,48
2025,17,WAS,DAL,23,30
2025,17,MIN,DET,23,10
2025,17,KC,DEN,13,20
2025,17,LAC,HOU,16,20
2025,17,GB,BAL,24,41
2025,17,CAR,SEA,10,27
2025,17,CIN,ARI,37,14
2025,17,CLE,PIT,13,6
2025,17,IND,JAX,17,23
2025,17,MIA,TB,20,17
2025,17,NYJ,NE,10,42
2025,17,TEN,NO,26,34
2025,17,LV,NYG,10,34
2025,17,BUF,PHI,12,13
2025,17,SF,CHI,42,38
2025,17,ATL,LA,27,24
2025,18,TB,CAR,16,14
2025,18,SF,SEA,3,13
2025,18,ATL,NO,19,17
2025,18,CIN,CLE,18,20
2025,18,HOU,IND,38,30
2025,18,JAX,TEN,41,7
2025,18,MIN,GB,16,3
2025,18,NYG,DAL,34,17
2025,18,BUF,NYJ,35,8
2025,18,CHI,DET,16,19
2025,18,DEN,LAC,19,3
2025,18,LA,ARI,37,20
2025,18,LV,KC,14,12
2025,18,NE,MIA,38,10
2025,18,PHI,WAS,17,24
2025,18,PIT,BAL,26,24
